id,recorded_day,air_pressure,max_temp,temperature,min_temp,dew_point,humidity,cloud_cover,wind_speed,raining
89,90,1010.1,27.2,24.8,23.3,21.6,91,88,19.6,yes
90,91,1014.6,28.2,24.5,22.3,22,87,81,8.9,yes
91,92,1013.1,28.2,24.1,22,22.9,89,81,31.8,yes
92,93,1016,26.3,23.9,22.2,20.4,90,88,28.5,yes
93,94,1015,26.2,24.9,22.2,19.8,92,85,28,yes
94,95,1011.4,26.8,24.4,23.6,22.6,91,80,34.2,yes
95,96,1009.2,28.2,26.7,25.3,23.1,87,86,12,no
96,97,,,,,24.2,,,,yes
97,98,1011.4,28.2,24.8,22.3,23.7,84,85,14.7,yes
98,99,1015.2,25.9,23.4,22.8,21.2,81,81,21.2,yes
99,100,1017.1,26.9,25.8,25.4,19.7,78,85,18.2,yes
100,101,,28.6,26.7,24.3,23.2,,,24,yes
101,102,1016.8,29.6,25.8,23.3,22.1,86,83,9.8,yes
102,103,1013.4,30.2,26.8,24.8,23.4,85,78,24.9,yes
103,104,1015.8,29.6,26.5,23.7,23.2,86,83,24.4,no
104,105,1008.3,28.9,26.9,24.3,24.8,87,82,23.7,yes
105,106,1008.9,28,27.8,25.2,25.2,89,88,34.2,yes
106,107,1010.3,30.2,26.9,24.2,22.7,84,84,15.1,yes
107,108,1008.9,31.2,28,24.7,25,81,88,28.4,yes
108,109,1011.4,27.6,25.5,24.4,24.8,79,80,12.4,yes
109,110,,30.6,,26.8,25.1,,,,yes
110,111,1010.9,30.6,28.7,26.3,25.3,86,84,18.8,yes
111,112,,28.7,25.4,23.9,22.1,,,14.5,yes
112,113,1011.4,26.2,24,22.4,23.4,82,83,11.9,yes
113,114,1009.8,28.7,26.7,25.3,24.3,84,87,15.7,yes
114,115,1008.3,31,28.6,26.9,24.9,81,83,9.2,yes
115,116,1008.8,29.7,25.8,24.2,22.6,89,88,28.8,yes
116,117,1012.2,25.8,23.7,22.4,22.3,89,81,39.5,yes
117,118,1011.1,28.2,25.5,23.3,19.3,82,81,31.8,no
118,119,1013.5,27.3,25.5,23.3,20.6,73,64,29.6,no
119,120,1007.9,31.2,28.1,26.4,24.3,85,90,23.3,yes
120,121,1006.8,31,28.1,26.8,25,,,14.5,yes
121,122,1005.9,29.2,27.4,25.5,24,89,88,15.8,yes
122,123,1009.5,30.9,27.1,26.3,24,89,88,15.1,yes
123,124,1010.9,29.8,26.5,24.3,23.3,83,85,14.2,yes
124,125,1012,26.4,24.9,23.2,21.7,84,82,14,yes
125,126,1012.5,27.9,25.8,24.4,23.1,82,88,39.3,yes
126,127,1008.8,31,28.1,26.2,25,81,80,20.5,yes
127,128,1011.4,30.7,27.9,26.4,25.6,89,89,22.5,yes
128,129,1009.5,30.1,28.9,26.3,24.3,,,15.3,yes
129,130,1011.2,31.6,28.7,26.3,25.4,81,88,26.1,yes
130,131,1008.7,31.4,28.2,26.1,25.1,82,75,21.8,no
131,132,1012.4,31.3,28.8,26.1,22.7,81,87,19.2,yes
132,133,1008.3,33,30.1,28,25.1,75,68,19.3,yes
133,134,1005.9,31,28.8,27.3,20.7,77,59,9.8,no
134,135,,32.3,30.2,27.4,25.9,,,13.4,yes
135,136,1006.6,32,29.4,27.6,26,,,26.4,yes
136,137,1008.5,32.2,29,27,25.3,79,79,16.4,yes
137,138,1006.6,32.3,29.6,28.7,25.7,84,77,15.4,yes
138,139,1008.4,32.6,29.7,26.4,25.7,81,69,34,yes
139,140,1008,32.8,29.9,26.7,26.7,89,74,15.8,yes
140,141,1007.6,32.7,29,27,26,76,46,9.4,no
141,142,1009.1,32.8,30,26.4,25.2,74,28,19,no
142,143,1008.5,30.4,27.4,25.3,24.2,74,57,11.9,no
143,144,1005.2,31.5,28.3,26.9,25.8,87,83,14.1,yes
144,145,1008.7,33,30.2,28.4,25.7,78,53,10.9,no
145,146,1008.7,32.1,29.8,27.5,25.5,81,83,52.8,yes
146,147,1005.6,32.8,29,27,25,74,38,8.3,no
147,148,1008.5,33.3,30.1,28,24.3,79,69,7.9,no
148,149,1010.3,31.2,28.1,25.8,23.1,79,49,14.5,no
149,150,1006.4,34,30.1,28.4,25.8,77,23,15.7,no
150,151,1009.8,34.4,30.1,28.8,24.7,74,29,12.6,yes
151,152,1008.9,34,30.6,26.7,25.9,81,79,25,yes
152,153,1006.6,33.2,30.8,28,25.3,77,29,14.5,no
153,154,1009.4,32,29,27,24.5,76,44,40.8,no
154,155,1006.8,31.9,29.3,26.2,24.2,81,77,7.9,yes
155,156,1008.7,32.9,29.1,27.1,25.3,78,78,19,yes
156,157,1005.9,34.7,30.1,28.5,25.4,79,88,15.3,yes
157,158,1008.1,31.7,28.9,26.2,25.8,81,78,21.9,yes
158,159,1009.5,30.8,28.9,27.4,25.1,86,67,11.1,yes
159,160,1008.4,32.6,30.7,28.4,25.4,86,78,14.1,yes
160,161,1008.1,31.7,29.5,27.5,25.5,84,63,14,no
161,162,1007.5,32,30.1,29,25.6,84,88,29.2,yes
162,163,1006.6,31,29.3,27.1,25.3,79,77,13.9,yes
163,164,1006.9,32.2,29,27.6,25.3,82,78,14.5,yes
164,165,1009.9,32.6,29.7,27.4,26.1,79,73,31.9,yes
165,166,1007.9,33,30.1,27.8,25.8,78,67,14.5,yes
166,167,1008.4,31.2,29,27.2,25.3,90,77,9.1,yes
167,168,1007.2,33.2,29.6,26.9,25,85,88,25.1,yes
168,169,,33.5,30,27.8,26,,,10.9,yes
169,170,1006.3,29.1,27.9,26.6,25.8,89,88,20.9,yes
170,171,1003.8,33.1,30.1,27.1,26.1,80,83,27.9,yes
171,172,1002.8,33.7,30,26.1,24.7,89,78,9.2,yes
172,173,1009.9,35.2,30,28.5,24.7,78,44,12.4,yes
173,174,1006.8,31.6,29.2,27.3,25.3,86,86,31.2,yes
174,175,1009.3,31.2,28.1,26.2,25.3,78,47,17.2,no
175,176,1007.5,32.8,30.1,28,25.6,79,72,30.3,no
176,177,1008.6,32.9,29.7,27.4,25.8,91,87,26.3,yes
177,178,1008.4,32,29.4,27.5,26.2,82,84,16.9,yes
178,179,1007.9,30.6,28.4,26.7,25.8,82,84,14.5,yes
179,180,1006.8,31.2,29,26.1,25.4,,,26.4,yes
180,181,1008.4,29,28.2,26.8,25,84,88,19.8,yes
181,182,1010.6,31.1,28.9,26.7,25.6,84,84,16.5,yes
182,183,1008.8,30.3,28.4,26.8,25.4,79,88,14.5,yes
183,184,1006.7,31.2,28.4,26.8,25.2,79,78,16.3,yes
184,185,,30.8,27.9,26.5,24.8,,,11.9,yes
185,186,1008.5,32,30.7,28.4,25.8,77,72,10,yes
186,187,1008.1,31.7,28.9,26.9,25.3,86,82,20,yes
187,188,1008.9,31.2,28.2,26.8,26,87,83,14.3,yes
188,189,1008.1,33,30,28.4,25.3,,,14.3,no
189,190,1008.4,33,30,28.1,25.5,81,51,18,yes
190,191,1008.9,32.4,30.7,28,25,79,67,10.9,yes
191,192,1006.9,33.3,30.3,26.7,26.4,79,88,20.5,yes
192,193,1006.8,33,30.4,28,25.5,76,38,15.8,no
193,194,1008.1,33.9,30,28,26.4,84,61,8.6,yes
194,195,1009.8,32.5,30.7,28.3,25.5,75,40,6.6,no
195,196,1005.9,34.1,30.2,28.1,25.5,78,41,13.6,no
196,197,,33.3,30,26.3,24.3,,,12.8,yes
197,198,1006.5,32.7,30.3,28.3,24.1,74,61,23.5,no
198,199,1006.7,33.5,30.5,28.7,26.4,79,78,9.1,no
199,200,1001,32.9,30.2,28.2,25.8,78,38,16.3,yes
200,201,1007.9,32,30.6,28.4,25.9,81,78,25.5,yes
201,202,1011.4,31.2,28.3,26.3,25.3,80,43,9.8,no
202,203,1008.4,31.8,28.8,26.7,24.5,81,78,11.2,yes
203,204,1008.1,32.4,29,26.5,26.3,84,83,15.3,yes
204,205,1008.9,30.6,28.4,26.6,25,81,88,11.3,yes
205,206,1008.9,29.4,27.2,26.6,25.6,89,83,10,yes
206,207,1004.8,31.1,28.7,26.7,25.4,78,79,13.8,yes
207,208,1004.2,31.2,28,26.5,25.9,89,84,17.3,yes
208,209,1008.9,32.9,29.6,26.4,26.6,83,82,9.2,yes
209,210,1008.1,30.6,28.6,26.3,25.3,82,87,20.5,yes
210,211,1008.1,32.9,29.9,28.6,26.3,81,78,21.9,yes
211,212,1006.5,30.6,27.4,24.9,25,,,21.9,yes
212,213,1010.5,30.6,28.3,26.6,25.9,85,82,21.9,yes
213,214,1008.4,32.7,30.4,28.1,25.2,74,43,13.8,no
214,215,1007.9,31.2,28.1,26.9,25.8,82,84,24.5,yes
215,216,1008.3,33,30,27.4,24.2,75,43,23.2,no
216,217,1007.5,30.8,27.2,25.5,23.2,75,78,13.9,yes
217,218,1005.6,31.6,28.3,26.4,25.4,81,84,23.7,yes
218,219,,31.5,28.1,25.7,25.5,,,10.9,yes
219,220,1007.8,30.1,28.1,26.1,25.1,84,83,20.3,no
220,221,1007.8,32.9,29.6,26.5,25.8,89,88,13.2,yes
221,222,1005.9,28.6,26.8,25.4,25.4,90,88,19.2,yes
222,223,1008.5,29.1,28.3,27.4,24.3,85,88,15.3,yes
223,224,1005.9,31.8,28.8,26.7,25,79,67,7.3,yes
224,225,1010.7,29.6,26.9,24.5,24.1,87,84,9.1,yes
225,226,1012,29.6,27.1,25.8,23.8,76,50,14.3,no
226,227,1012,29.4,27.7,25.4,25.9,81,86,13.8,yes
227,228,1011.6,33.7,29.1,26.9,23.2,85,84,11,yes
228,229,1008.5,30.6,27.8,25.7,25.4,91,81,23.2,yes
229,230,1007.3,31.8,28.1,24.5,25.4,85,88,11.7,yes
230,231,1011.4,30.2,27.8,26.5,23.1,76,54,13.3,no
231,232,1010.6,30.8,28.1,26.1,25.8,,,29,no
232,233,1009.2,29.2,26.8,25.5,23.1,75,62,12.1,yes
233,234,1010.9,28.6,26.1,25.4,23.4,,,11.7,yes
234,235,1012.2,28.1,25.8,24.5,23.2,86,83,23.7,yes
235,236,1011.4,31.4,28.1,26.8,23.7,75,56,32.5,no
236,237,1009.8,32,27.6,25.3,22.3,75,80,8.3,no
237,238,1013,30.4,28.7,26.4,25.3,83,79,29.8,yes
238,239,1009.1,31.8,28,26.8,25,89,80,14.5,yes
239,240,1013.6,28.1,26,25.1,22.2,79,51,17.5,no
240,241,1014.8,32.8,28.1,26.7,23.5,,,34.2,no
241,242,1014.4,31.3,28.1,26,23.3,82,88,22.9,yes
242,243,1013.7,28.7,27.8,25.3,23.3,79,60,17.2,no
243,244,1013.3,29.3,27.9,25,25.8,83,84,9.6,no
244,245,1007.9,30.8,28.6,26.3,25.3,87,87,25.9,no
245,246,1008.1,31.1,28.1,26.2,24.5,79,62,12.5,no
246,247,1007.1,31.6,29.4,26,25.8,84,82,16.5,yes
247,248,1005.8,30.3,27.5,25.9,22.1,77,86,11.7,no
248,249,1005.7,31.7,28.4,26.9,25.6,82,86,21.6,yes
249,250,1007.6,30.6,27.4,26.4,25.3,78,47,9.2,no
250,251,1015,29.8,27.9,26.5,23.2,76,78,11,yes
251,252,1014.8,31.2,28.4,26.8,26.1,,,12.6,yes
252,253,1013,31.1,28.9,25.8,20.6,75,54,14.5,no
253,254,1007.7,32,29.1,26.7,25,75,78,17.2,yes
254,255,1008.2,32.3,29.6,27.9,24.2,,,11.8,yes
255,256,1010.2,29.2,27,25.7,25.4,79,67,44.7,yes
256,257,1013,31.2,28.7,26.3,26.3,91,88,26.7,yes
257,258,1015.1,30.3,27.7,24.7,25.6,81,69,25.1,yes
258,259,1015,28.6,26.6,24.8,23.6,83,84,37.5,yes
259,260,,28.9,26.5,24.8,20.6,,,16.7,yes
260,261,1013.2,27.8,26.6,25.8,25.2,90,84,27.3,yes
261,262,1004.9,28.4,26.2,24.7,24.4,84,83,29.8,yes
262,263,1010.5,27.8,25.8,24.3,21.2,73,47,21.9,yes
263,264,1017,28.9,25.5,24.5,23.4,82,66,34.2,no
264,265,1017.8,29.7,27.9,25.6,25.4,77,61,13.2,no
265,266,1016.4,28.7,25.6,20.5,24.7,84,88,37.9,yes
266,267,1017.9,28,26.5,24.9,23.4,82,77,23.9,no
267,268,1008.3,22.5,20.8,19.6,18.6,73,21,38.3,no
268,269,1017.1,27.2,25.5,24.4,21.4,82,65,35.1,yes
269,270,1010.3,27.8,25.4,23.7,23.5,89,89,50.6,yes
270,271,1018.1,28.1,27.1,25.4,25.1,90,81,52.8,yes
271,272,1017.7,28.8,26.4,24.5,16.9,79,43,24.4,no
272,273,1018.9,26.1,23.7,21,22,90,81,13.8,yes
273,274,1014.8,24.5,23.1,22.7,22.9,90,94,50.7,yes
274,275,1016.5,25.3,21.3,20.8,19.6,78,61,22,no
275,276,1016.4,28.4,26.1,25.1,23,85,84,15.2,yes
276,277,1018,22.3,21.3,20.4,20.9,89,88,21.4,yes
277,278,1016,27.4,24.9,22.2,20.3,81,78,35.3,no
278,279,1016.8,28.1,25,23.7,20.3,70,78,16.4,no
279,280,1017.1,29.2,25.7,23.4,19.4,78,65,27.3,no
280,281,1014.1,28.2,25.3,23.2,22.1,76,46,10.9,yes
281,282,1017.7,28.2,25.6,23.4,21.6,,,10,yes
282,283,1016.8,26.2,24.3,21,22.2,,,11,yes
283,284,1019.5,27.9,25.8,24.7,23.1,83,88,10.2,yes
284,285,1019.8,26.8,23.1,21.2,20.1,78,79,25.1,yes
285,286,1020.6,26.3,24.3,22.5,19.3,70,47,28.3,yes
286,287,1017.3,26.4,24.5,23.9,22.3,79,79,22.9,yes
287,288,1019.5,25.3,23.7,22.3,18.8,79,83,15.3,yes
288,289,1015.2,26.3,24.5,23.7,19.9,73,49,16,no
289,290,,,,,17.4,,,,yes
290,291,,27.9,25.3,24.1,22.9,,,14.6,yes
291,292,1017.1,26,24.9,22.3,22.2,81,84,12,yes
292,293,1012.2,28.9,24,21.6,23.5,81,78,36,yes
293,294,1012.5,26.3,25.7,24.4,22.8,76,66,24.9,yes
294,295,1015.2,27.1,25,23.7,20.7,78,58,15.5,no
295,296,1017.1,25.1,24.7,23.1,21.4,85,81,25.9,yes
296,297,1019.4,27.8,23.3,21.6,16.7,92,88,11,yes
297,298,1014.7,28.4,25.5,24,23.4,,,19.8,yes
298,299,,26.2,25.4,24.4,23.6,,,39.5,yes
299,300,1016.1,29.7,26.3,24.1,23.1,86,70,16,yes
300,301,1014.7,29.8,25.1,22.1,23.7,82,79,14.6,yes
301,302,1015.2,27.8,25.5,24.4,23.6,86,88,8.7,yes
302,303,1016.1,26.8,24.6,23.1,19.9,91,83,9.9,no
303,304,1017.1,29.9,25.6,24.4,19.3,,,9.1,yes
304,305,1016.7,25.9,24.8,23.1,21.4,81,84,14.5,yes
305,306,1015.3,28.9,26.6,23.5,23.5,85,88,9.8,yes
306,307,,27.9,25.4,23.4,21.6,,,14.7,yes
307,308,,26.2,25.5,23.6,20.5,,,16.4,yes
308,309,1016.7,29.1,25.4,23.7,19.3,75,46,7.9,no
309,310,1017.5,25.3,21.6,19.7,19.6,82,84,43.8,no
310,311,1016.7,23.3,20.9,18.2,17.4,90,84,20.5,yes
311,312,1014.5,22.4,19.3,17.6,13.5,67,72,35.3,no
312,313,1015.1,21.3,18.9,17.2,15.8,86,80,12.8,yes
313,314,1020.8,21.4,19.9,17.2,12.9,73,82,39.5,yes
314,315,1015.2,21.3,19.3,18.9,18.9,93,85,14.5,yes
315,316,1017.9,20.5,20.4,19.9,18.1,88,83,22.9,yes
316,317,1018.6,26.7,24.8,22.1,21.4,92,90,19.2,yes
317,318,1018.7,23.2,22.5,20,20.4,93,93,38.3,yes
318,319,1019.7,22.1,20.6,19.3,19.1,90,87,29.8,yes
319,320,1018.9,19.2,20.9,19.2,19.4,78,38,36,yes
320,321,1017.5,25.2,21.6,16.9,18.6,75,44,28.9,yes
321,322,,19,17.7,16.9,15.5,,,35.8,yes
322,323,1019.9,25.8,21.8,20.2,18.4,86,89,22,yes
323,324,1018.7,20.9,17,16.5,14,90,59,14.2,no
324,325,1015.6,21.2,19.6,18.7,17,,,23.5,yes
325,326,1019.9,24.7,20.8,19.2,17.3,77,53,11.8,no
326,327,1016,21.1,20.1,19.7,18.3,86,93,11.8,yes
327,328,1017.1,24.5,18.4,17.2,16,65,60,35.3,no
328,329,1022.5,19.3,17.3,16.4,12.8,77,94,24.4,yes
329,330,1022.9,20.1,18.4,16.5,12.3,73,17,41.3,no
330,331,1017.9,18.9,16.4,15.1,15.5,78,89,22.8,yes
331,332,1024.4,18.8,14.8,12.4,8.5,75,43,39.5,no
332,333,,17.5,13.7,11.3,6.6,,,22.6,yes
333,334,1021.4,17.3,13.3,12.9,11.1,87,80,27.3,yes
334,335,1018,24.3,21.1,19.8,19.6,79,69,30,no
335,336,1021.1,21.2,18.8,16.4,16.6,67,75,35.8,no
336,337,1020.8,21.4,18.9,17.2,14.9,75,69,18,no
337,338,1023.8,17.6,15.2,14.8,11.4,76,49,35.1,no
338,339,1017.9,20.9,20.6,18.9,19.6,80,88,21.9,yes
339,340,1021.2,21,19.2,17.4,16.5,82,88,20.9,yes
340,341,1019.3,21.3,20.3,19.4,16,89,75,25.1,yes
341,342,1020.7,18.1,17.2,16.9,7.9,75,55,33.4,no
342,343,1022.6,20.1,17.6,15.3,14.6,79,86,28.7,no
343,344,1020.2,17.2,14.6,12.8,8.1,79,87,32.9,no
344,345,1019.5,22.3,19.9,17.2,16.8,87,80,27.3,yes
345,346,1022,16.2,15.2,13.5,9.8,88,88,28.4,yes
346,347,1022.8,17.6,15.9,14.4,11.1,77,85,20,no
347,348,1018,17.5,16.3,15.3,14.6,92,85,11.8,no
348,349,1017.9,16.5,16.1,15.1,15.1,83,81,28.8,yes
349,350,1022.4,21.3,18.9,16.6,12.9,79,70,19.2,yes
350,351,,18.2,17.9,16.1,12.4,,,16,no
351,352,,21.8,18.3,15.8,13.2,,,22.5,no
352,353,1017.4,21.3,20.9,19.1,19.9,76,88,30.2,no
353,354,,20.9,19.3,18.9,18.1,,,25.1,yes
354,355,1016.7,21.3,18.3,17.1,16.4,,,13.9,no
355,356,1020.6,18.7,17.3,16.5,15,75,81,25.9,no
356,357,1017.9,22.3,18.8,16.6,17.7,84,84,15.1,yes
357,358,1020.3,18.9,16.1,15.3,14.7,75,91,27.4,yes
358,359,1023.8,21.4,18.2,17.2,15.5,76,48,14.2,yes
359,360,1016.8,21.1,18.8,17.2,18,97,95,16,yes
360,361,1014.3,18.3,17.3,16.3,15.9,93,91,26.9,yes
361,362,1012.5,21,19.9,18.4,18,95,95,36,yes
362,363,1012.4,21.3,20.9,19.4,19.6,92,88,32.9,yes
363,364,1022.2,17.6,16.5,15.7,13.8,76,97,29.8,yes
364,365,1013,21,19.3,17.9,17.3,94,88,42,yes
365,1,1012.2,17.1,16.1,14.6,14.7,93,96,20,yes
366,2,1013.4,21.3,20.3,19.7,16.9,96,93,37,yes
367,3,1012,20.8,17.6,15.7,4.8,75,88,29.6,yes
368,4,,16.2,13.3,11.6,12.1,,,59.5,yes
369,5,1022.4,12.1,13.8,11.2,2.7,75,68,27.6,no
370,6,1015.2,14.3,12.9,11.4,11.1,92,100,15.3,yes
371,7,1015.2,17.2,13.7,10,12.2,92,94,27.4,yes
372,8,1022.6,15.9,11.3,10.8,7.7,81,78,29.6,no
373,9,1019.5,14.3,13.7,11.6,11.2,92,100,28.2,yes
374,10,1022.5,14.4,12.4,10.8,12.6,59,87,25.9,yes
375,11,1025.6,16.7,12.9,9.6,11.3,75,84,30.2,yes
376,12,1021.3,15.5,12.9,10.3,10,77,96,24.4,yes
377,13,1024.3,17.4,13.6,11.8,8.6,72,100,39.3,no
378,14,1019,17.8,16.1,14.8,15.7,98,100,28.6,yes
379,15,1022.2,16.5,13.1,11.5,9.7,52,60,13.6,no
380,16,1021.2,15.3,12.6,11.6,10.9,91,80,19.8,yes
381,17,1026.4,19.2,14.6,12.6,11.4,72,19,16.5,no
382,18,1023.2,17.6,13.7,9.4,11,79,88,20.4,yes
383,19,,,,,3.4,,,,yes
384,20,1025.3,12.9,8.3,7.5,4.4,47,23,31.8,no
385,21,1020.6,18.6,17.3,15.8,13,92,92,23.7,yes
386,22,1016.7,17.4,16.6,15.5,13.3,90,92,22.1,yes
387,23,1027.4,21.6,18.8,16.3,17.3,,,12.8,no
388,24,1015,21.6,20.4,20.4,17.4,95,88,20.8,yes
389,25,1014.8,22.3,21.2,20.9,19.5,91,86,19.8,yes
390,26,1012.7,23.1,21.7,19.8,20.6,92,93,19.2,yes
391,27,1019.8,24.7,22.2,20.6,20.8,89,86,15.3,yes
392,28,1019.8,24.3,22.5,20.1,15.3,65,49,27.6,no
393,29,1017.8,24.9,20.9,19.6,18.9,82,83,17.5,no
394,30,1014.9,21.3,20.5,20.1,19.3,90,93,40.4,yes
395,31,1014.8,21.4,19.3,17.1,17.2,91,80,23.5,yes
396,32,1017.8,23.1,22.4,20.8,20.6,79,81,29.8,yes
397,33,1022.6,19.6,16.6,14.7,8.3,79,95,28.8,yes
398,34,1013.7,22.3,23,21,20.4,91,84,37,yes
399,35,1024.1,20.5,17.4,15.4,2.3,77,43,15.1,no
400,36,1013,21.3,19.9,17.2,19.6,90,84,25.9,yes
401,37,1017.3,24.9,21.6,20,18,85,88,40.4,yes
402,38,1013,24.5,22.8,20.9,20.3,86,92,15.7,yes
403,39,1015.3,21.9,20.2,19.4,17.8,78,83,20,no
404,40,1013.3,21.4,20.8,19.2,18.8,88,88,13.6,yes
405,41,1020.8,19.6,17.3,15.7,10.5,87,88,40.8,yes
406,42,1020.6,20.6,18.7,16.4,12.9,,,23.7,yes
407,43,1021.2,24.7,18.9,15.6,9.6,77,46,41.3,no
